feature_idx,f_score,p_value
48,316.40638607079524,0.0
17,287.1221396987155,0.0
263,276.53934007856907,0.0
270,270.31751185513536,0.0
172,235.47074714962764,0.0
283,231.88412747709955,0.0
231,225.079941418199,0.0
90,220.46460183080666,0.0
111,217.43977620503568,0.0
88,210.56947177152148,0.0
249,208.67525513758446,0.0
87,207.64284729847634,0.0
71,207.18979057305228,0.0
141,194.61963074741467,0.0
99,194.40331456732238,0.0
218,189.4345902880832,0.0
46,188.12540673751386,0.0
86,184.40239799850048,0.0
182,174.9982163994792,0.0
234,173.99323788443132,0.0
230,167.69675341553065,0.0
26,166.8447826229953,0.0
265,148.22176173565356,0.0
216,146.0031691255557,0.0
5,145.79132486409816,0.0
41,144.80833584857197,0.0
157,141.19500606111325,0.0
299,138.8429661463965,0.0
63,137.44790691038534,0.0
292,137.3919238412426,0.0
232,136.16118396630262,0.0
10,135.23260651949582,0.0
27,131.11279596436967,0.0
257,130.82526612261864,0.0
125,128.8041330868283,0.0
47,128.59778900532802,0.0
134,128.52960038754136,0.0
76,126.65219639290835,0.0
240,126.45720214779271,0.0
124,123.82047100436316,0.0
14,119.28544193881145,0.0
142,118.28348400219456,0.0
38,116.44172536193658,0.0
24,115.79393078301787,0.0
205,115.59312620214209,0.0
123,113.55687496582459,0.0
59,109.29313226078453,0.0
144,108.66181314168773,0.0
116,106.18251758993415,0.0
113,105.43635824914483,0.0
214,102.90209892351876,0.0
132,102.829693672204,0.0
92,101.29279707386902,0.0
250,100.70105435822451,0.0
222,100.6205124230001,0.0
20,99.53148909330554,0.0
79,99.4279545609917,0.0
255,97.96531682539185,0.0
174,97.34261357388948,0.0
243,96.32448973034002,0.0
198,95.63876324656425,0.0
146,95.08469493879448,0.0
49,95.05598277406364,0.0
85,94.65189809853825,0.0
61,94.54294091996151,0.0
101,94.49370903611825,0.0
9,93.07339617611376,0.0
161,92.71507762771586,0.0
131,92.33574044710683,0.0
206,92.1182893624855,0.0
290,91.81984781230976,0.0
285,91.56608395078973,0.0
247,90.37119490225396,0.0
7,89.84919483599775,0.0
133,89.7242618951791,0.0
162,89.2613660085928,0.0
204,89.06883331702676,0.0
238,87.21179149127296,0.0
6,83.11047383969553,0.0
28,82.21514765031357,0.0
64,81.74897974588835,0.0
181,81.08348331933767,0.0
259,80.00112273571243,0.0
239,79.37129699307548,0.0
293,78.69709047066569,0.0
190,78.07948435661503,0.0
150,76.4952217106602,0.0
73,75.85228605266254,0.0
51,75.50275780498487,0.0
62,75.30140974890746,0.0
236,75.02011687680682,0.0
277,74.76309165436867,0.0
274,73.8396016968751,0.0
242,73.66577130107372,0.0
89,73.55669815725933,0.0
21,72.49273278329551,0.0
55,71.9753896336416,0.0
260,71.48454734772619,0.0
215,71.40413129976719,0.0
148,70.05260123135794,0.0
75,69.97958566769186,0.0
268,69.59350370036559,0.0
117,69.27623351337076,0.0
189,69.22714417485045,0.0
98,66.75129828980309,0.0
34,66.68008596928502,0.0
168,66.51073496145072,0.0
208,66.29679373818426,0.0
140,64.9303130799109,0.0
107,64.68681381768539,1.5e-323
136,64.28180817506787,1.53e-321
69,64.05121578583011,2.0934e-320
114,63.74955197536993,6.40976e-319
19,63.359528202307914,5.3633163e-317
271,63.34707165148811,6.178211e-317
77,63.327387060592685,7.725743e-317
143,61.798216601919826,2.7632216802944e-309
226,61.71154409600118,7.417552113983076e-309
122,61.573079165487215,3.59358538389123e-308
272,61.51561183535354,6.918204516900581e-308
129,61.50708483335849,7.624392794877651e-308
39,61.11272026830201,6.843425641957997e-306
207,60.65858040840963,1.2199826030328542e-303
