0,F203,10.792686,0.011141,0.001729,0.000661,1193.0
1,F18,5.885125,0.007509,0.001701,0.001125,1174.0
2,F11,11.402046,0.011598,0.001810,0.001057,1160.0
3,F58,16.222622,0.026227,0.001725,0.000944,1150.0
4,F180,13.661029,0.019007,0.001791,0.001076,1147.0
5,F137,14.685273,0.028759,0.001816,0.000698,1140.0
6,F191,12.131297,0.026949,0.001766,0.001132,1136.0
7,F273,14.226373,0.014478,0.001775,0.001223,1130.0
8,F275,16.768866,0.018386,0.001773,0.001166,1127.0
9,F192,16.912201,0.038510,0.001711,0.000948,1112.0
10,F188,10.860346,0.015383,0.001921,0.001386,1095.0
11,F258,13.992734,0.016674,0.001936,0.001303,1094.0
12,F281,22.701490,0.025290,0.001940,0.001057,1090.0
13,F126,11.176208,0.016355,0.001901,0.001438,1083.0
14,F225,20.914131,0.028350,0.001850,0.001219,1079.0
15,F57,14.641559,0.028669,0.001955,0.001190,1079.0
16,F13,20.554992,0.029528,0.001823,0.001231,1079.0
17,F74,14.227432,0.027870,0.001706,0.001519,1075.0
18,F42,14.377524,0.042549,0.001953,0.000979,1069.0
19,F1,13.923684,0.012725,0.001961,0.001511,1058.0
20,F40,14.587644,0.023107,0.002123,0.001170,1052.0
21,F288,13.783916,0.033066,0.001870,0.001454,1049.0
22,F296,21.183696,0.028736,0.001789,0.001473,1044.0
23,F128,13.793895,0.032773,0.002151,0.001053,1041.0
24,F12,21.517756,0.030535,0.001991,0.001308,1029.0
25,F104,25.130623,0.026979,0.002141,0.000945,1028.0
26,F164,16.539056,0.022466,0.001834,0.001722,1026.0
27,F158,23.552054,0.044702,0.002020,0.000910,1024.0
28,F229,27.310666,0.046205,0.001925,0.000946,1019.0
29,F266,23.322341,0.029812,0.001992,0.001413,1012.0
30,F289,22.893953,0.041360,0.001889,0.001320,1011.0
31,F175,20.523731,0.033779,0.002135,0.001174,1007.0
32,F152,10.962850,0.011692,0.001838,0.002137,1007.0
33,F151,20.778217,0.049904,0.001824,0.001271,1006.0
34,F32,20.339185,0.029183,0.002111,0.001307,1006.0
35,F179,29.054271,0.030181,0.002068,0.001247,989.0
36,F0,25.391822,0.039207,0.001942,0.001417,983.0
37,F165,16.653247,0.028838,0.001937,0.001838,983.0
38,F68,17.946026,0.035519,0.002083,0.001481,981.0
39,F244,29.898482,0.036323,0.002121,0.001025,979.0
40,F169,30.326832,0.044353,0.002012,0.001102,976.0
41,F66,19.161534,0.034425,0.002088,0.001539,975.0
42,F80,26.071396,0.041439,0.002137,0.001033,973.0
43,F2,23.565724,0.023101,0.001722,0.002104,972.0
44,F184,29.886926,0.034534,0.002091,0.001253,965.0
45,F45,28.526390,0.048702,0.001876,0.001310,962.0
46,F291,23.775028,0.043398,0.002109,0.001243,961.0
47,F166,29.607857,0.035659,0.001739,0.001682,961.0
48,F298,33.707412,0.046705,0.002022,0.000962,959.0
49,F109,15.113771,0.021070,0.001903,0.002220,958.0
50,F219,22.984642,0.025419,0.002105,0.001663,953.0
51,F186,29.982623,0.032373,0.002088,0.001419,946.0
52,F67,27.913418,0.045222,0.001876,0.001573,940.0
53,F256,24.385805,0.040939,0.002065,0.001564,939.0
54,F127,15.569204,0.026871,0.001759,0.002716,939.0
55,F60,33.977348,0.038435,0.001959,0.001416,937.0
56,F156,32.067108,0.031980,0.002016,0.001525,937.0
57,F220,31.949077,0.051760,0.001976,0.001172,934.0
58,F94,23.331041,0.038700,0.001993,0.001806,930.0
59,F120,19.496220,0.038038,0.002110,0.001702,924.0
60,F267,22.877550,0.020054,0.002105,0.002005,918.0
61,F3,25.710571,0.050552,0.002124,0.001262,916.0
62,F52,31.489445,0.071313,0.001948,0.001011,915.0
63,F252,31.693531,0.055921,0.002102,0.001043,914.0
64,F78,26.396008,0.035005,0.002067,0.001777,913.0
65,F160,39.924930,0.057241,0.001849,0.001299,897.0
66,F297,29.525759,0.043279,0.002132,0.001451,895.0
67,F93,21.157974,0.044643,0.002394,0.001378,887.0
68,F282,28.106312,0.050793,0.002227,0.001250,884.0
69,F149,33.963282,0.040783,0.002358,0.001097,883.0
70,F84,31.281334,0.067385,0.001848,0.001465,877.0
71,F187,24.502800,0.041306,0.002259,0.001596,875.0
72,F153,29.670689,0.039424,0.002098,0.001888,859.0
73,F193,38.870318,0.049302,0.002310,0.000992,858.0
74,F139,34.724544,0.054610,0.001942,0.001579,858.0
75,F185,40.699981,0.061517,0.002143,0.001018,847.0
76,F23,26.421503,0.048430,0.002053,0.001976,846.0
77,F209,31.810864,0.045980,0.001910,0.002048,843.0
78,F138,26.750167,0.042590,0.002104,0.002033,840.0
79,F37,19.166057,0.018450,0.002338,0.002506,837.0
80,F202,25.053627,0.038152,0.002013,0.002690,836.0
81,F251,44.164367,0.060218,0.001993,0.001385,831.0
